,I2HospitalRate_range,E2Irate_range,I2Rrate_range,delay_from_hospital_to_I_range,Beta_coeff_summer_range,winter_coeff_range,Beta_coeff_manual_setting_range,indFirstValidRow_range,indFirstAvailData_range,indLastAvailData_range,indLastValidRow_range,lower___for_sample_weights_range,upper___for_sample_weights_range,N0_range,S0_range,x0_range,n0_range,epsil_range
0,0.03,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
1,0.03,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
2,0.03,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
3,0.03,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
4,0.03,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
5,0.03,0.16666666666666666,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
6,0.03,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
7,0.03,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
8,0.03,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
9,0.03,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
10,0.03,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
11,0.03,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
12,0.03,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
13,0.03,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
14,0.03,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
15,0.03,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
16,0.03,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
17,0.03,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
18,0.03,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
19,0.03,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
20,0.03,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
21,0.03,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
22,0.03,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
23,0.03,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
