date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,recoverdIncremental,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
3/7/21,TX,44451,,84,,,,4721,0,,1463,,0,,,,,,2686818,2320857,2953,0,159003,211014,,,2628176,2502609,10856,,0,19907384,76040,1033285,2664340,,,,0,19907384,76040
3/6/21,TX,44367,,233,,,,4921,0,,1503,,0,,,,,,2683865,2318522,5570,0,157037,211546,,,2622781,2491753,21445,,0,19831344,11292,1025375,2630435,,,,0,19831344,11292
3/5/21,TX,44134,,256,,,,5065,0,,1530,,0,,,,,,2678295,2314187,6853,0,156198,210359,,,2622199,2470308,11490,,0,19820052,55875,1025537,2624414,,,,0,19820052,55875
3/4/21,TX,43878,,315,,,,5263,0,,1599,,0,,,,,,2671442,2309124,8028,0,155146,208427,,,2618057,2458818,8589,,0,19764177,56522,1022798,2606279,,,,0,19764177,56522
3/3/21,TX,43563,,297,,,,5508,0,,1713,,0,,,,,,2663414,2304081,7822,0,154259,206875,,,2613982,2450229,8407,,0,19707655,64597,1020452,2564354,,,,0,19707655,64597
3/2/21,TX,43266,,271,,,,5644,0,,1728,,0,,,,,,2655592,2297878,7747,0,153487,205481,,,2608239,2441822,12369,,0,19643058,47847,1018098,2543010,,,,0,19643058,47847
3/1/21,TX,42995,,59,,,,5611,0,,1747,,0,,,,,,2647845,2292097,3821,0,153078,199506,,,2604373,2429453,7084,,0,19595211,37529,1016619,2481635,,,,0,19595211,37529
2/28/21,TX,42936,,197,,,,5696,0,,1740,,0,,,,,,2644024,2287135,3815,0,152353,199343,,,2600487,2422369,4784,,0,19557682,68999,1014806,2477824,,,,0,19557682,68999
2/27/21,TX,42739,,164,,,,5912,0,,1813,,0,,,,,,2640209,2284059,11073,0,151216,198869,,,2594731,2417585,24017,,0,19488683,62170,1011849,2451395,,,,0,19488683,62170
2/26/21,TX,42575,,290,,,,6185,0,,1839,,0,,,,,,2629136,2275506,7955,0,150153,197877,,,2588505,2393568,13273,,0,19426513,68600,1008485,2420865,,,,0,19426513,68600
2/25/21,TX,42285,,305,,,,6724,0,,2061,,0,,,,,,2621181,2269871,7389,0,148914,196451,,,2581928,2380295,12287,,0,19357913,53992,1005419,2373470,,,,0,19357913,53992
2/24/21,TX,41980,,339,,,,6738,0,,2063,,0,,,,,,2613792,2264763,7517,0,144994,195226,,,2576255,2368008,14267,,0,19303921,61640,1000019,2358865,,,,0,19303921,61640
2/23/21,TX,41641,,234,,,,7014,0,,2085,,0,,,,,,2606275,2259407,11809,0,144328,194246,,,2568513,2353741,21801,,0,19242281,43164,997580,2341176,,,,0,19242281,43164
2/22/21,TX,41407,,64,,,,6964,0,,2114,,0,,,,,,2594466,2251388,6365,0,143841,192845,,,2562136,2331940,13747,,0,19199117,33266,996125,2320201,,,,0,19199117,33266
2/21/21,TX,41343,,130,,,,7146,0,,2268,,0,,,,,,2588101,2245634,4484,0,143699,192327,,,2558042,2318193,5748,,0,19165851,38019,995393,2303319,,,,0,19165851,38019
2/20/21,TX,41213,,227,,,,7535,0,,2321,,0,,,,,,2583617,2241808,6486,0,143484,192203,,,2568426,2312445,22672,,0,19127832,-84769,994702,2300546,,,,0,19127832,-84769
2/19/21,TX,40986,,172,,,,7757,0,,2367,,0,,,,,,2577131,2236776,2937,0,143340,190800,,,2560644,2289773,10089,,0,19212601,401870,992781,2245228,,,,0,19212601,401870
2/18/21,TX,40814,,97,,,,7874,0,,2459,,0,,,,,,2574194,2234506,3131,0,141470,188051,,,2521479,2279684,11617,,0,18810731,0,987853,2200714,,,,0,18810731,0
2/17/21,TX,40717,,72,,,,7609,0,,2324,,0,,,,,,2571063,2231717,3766,0,141470,188051,,,2521479,2268067,11037,,0,18810731,0,987853,2200714,,,,0,18810731,0
2/16/21,TX,40645,,52,,,,7661,0,,2397,,0,,,,,,2567297,2229008,3348,0,141470,188051,,,2521479,2257030,-3810,,0,18810731,0,987853,2200714,,,,0,18810731,0
2/15/21,TX,40593,,66,,,,7824,0,,2428,,0,,,,,,2563949,2225399,3889,0,141470,188051,,,2521479,2260840,29131,,0,18810731,0,987853,2200714,,,,0,18810731,0
2/14/21,TX,40527,,149,,,,8107,0,,2473,,0,,,,,,2560060,2221955,6933,0,141470,188051,,,2521479,2231709,11476,,0,18810731,109964,987853,2200714,,,,0,18810731,109964
2/13/21,TX,40378,,283,,,,8395,0,,2543,,0,,,,,,2553127,2215885,11282,0,139990,186571,,,2510207,2220233,16087,,0,18700767,95013,983897,2168000,,,,0,18700767,95013
2/12/21,TX,40095,,324,,,,8607,0,,2582,,0,,,,,,2541845,2206982,12502,0,139080,184313,,,2500055,2204146,19427,,0,18605754,99489,981011,2127545,,,,0,18605754,99489
2/11/21,TX,39771,,385,,,,8933,0,,2703,,0,,,,,,2529343,2196882,11890,0,137659,182973,,,2489681,2184719,15957,,0,18506265,91398,977294,2083584,,,,0,18506265,91398
2/10/21,TX,39386,,385,,,,9165,0,,2740,,0,,,,,,2517453,2187850,12897,0,136762,181535,,,2479268,2168762,43460,,0,18414867,113195,974278,2063225,,,,0,18414867,113195
2/9/21,TX,39001,,301,,,,9401,0,,2777,,0,,,,,,2504556,2177572,13329,0,135461,179936,,,2463920,2125302,20408,,0,18301672,80902,970422,2030649,,,,0,18301672,80902
2/8/21,TX,38700,,57,,,,9401,0,,2667,,0,,,,,,2491227,2166919,7485,0,135101,177559,,,2453191,2104894,13781,,0,18220770,148480,969047,1993396,,,,0,18220770,148480
2/7/21,TX,38643,,167,,,,9652,0,,2843,,0,,,,,,2483742,2160098,6959,0,133447,177045,,,2435800,2091113,10928,,0,18072290,37467,964000,1980915,,,,0,18072290,37467
2/6/21,TX,38476,,348,,,,9957,0,,2885,,0,,,,,,2476783,2154678,13897,0,133307,175629,,,2430693,2080185,19707,,0,18034823,111908,963296,1955420,,,,0,18034823,111908
2/5/21,TX,38128,,401,,,,10259,0,,2931,,0,,,,,,2462886,2143353,14495,0,132409,174443,,,2418530,2060478,22590,,0,17922915,76029,959934,1926967,,,,0,17922915,76029
2/4/21,TX,37727,,439,,,,10523,0,,3014,,0,,,,,,2448391,2132593,15281,0,128401,172200,,,2409593,2037888,22022,,0,17846886,152012,937452,1880415,,,,0,17846886,152012
2/3/21,TX,37288,,418,,,,10827,0,,3014,,0,,,,,,2433110,2120299,17620,0,126983,171709,,,2390223,2015866,22162,,0,17694874,89053,933639,1868992,,,,0,17694874,89053
2/2/21,TX,36870,,331,,,,11002,0,,3073,,0,,,,,,2415490,2106729,23047,0,126251,169937,,,2377723,1993704,19132,,0,17605821,101463,931104,1849176,,,,0,17605821,101463
2/1/21,TX,36539,,48,,,,11074,0,,3111,,0,,,,,,2392443,2087170,31811,0,124863,167830,,,2362669,1974572,27079,,0,17504358,105238,924087,1819443,,,,0,17504358,105238
